Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - OV986001.1	Upstream	4107	4576909	4578897	-1	WP_015884928.1	100	99.8	0.0	MULTISPECIES: acyltransferase family protein [Pseudomonas fluorescens group]
PICI REGION 1 - OV986001.1	Upstream	4108	4579012	4579356	-1	WP_224265932.1	98.9	80.0	1.28e-59	MULTISPECIES: tail fiber assembly protein [Pseudomonas fluorescens group]
PICI REGION 1 - OV986001.1	Upstream	4109	4579359	4580861	-1	WP_052308682.1	100	99.8	0.0	MULTISPECIES: hypothetical protein [Pseudomonas fluorescens group]
PICI REGION 1 - OV986001.1	Upstream	4110	4580873	4581472	-1	WP_015884929.1	100	99.5	1.10e-144	MULTISPECIES: YmfQ family protein [Pseudomonas fluorescens group]
PICI REGION 1 - OV986001.1	Upstream	4111	4581463	4582071	-1	WP_105162884.1	96.5	99.5	1.04e-133	MULTISPECIES: baseplate J/gp47 family protein [Pseudomonas]
PICI REGION 1 - OV986001.1	Core	4112	4582350	4582841	-1	CORE	100	99.4	5.22e-105	PROTEIN: WP_043205644.1 MULTISPECIES: terminase small subunit [Pseudomonas fluorescens group]
PICI REGION 1 - OV986001.1	Core	4113	4583023	4583361	-1	WP_015884931.1	100	99.1	8.33e-82	MULTISPECIES: HNH endonuclease [Pseudomonas fluorescens group]
PICI REGION 1 - OV986001.1	Core	4114	4583372	4583644	-1	WP_395599559.1	84.4	84.6	5.00e-37	Rz1-like lysis system protein LysC [Pseudomonas sp. A0308]
PICI REGION 1 - OV986001.1	Core	4115	4583749	4583973	1	CORE	97.1	92.0	4.81e-42	PROTEIN: WP_305481193.1 phage integrase Arm DNA-binding domain-containing protein [Pseudomonas sp. FP1742]
PICI REGION 1 - OV986001.1	Core	4116	4584230	4584586	-1	WP_003174972.1	100	99.2	1.71e-77	MULTISPECIES: MerR family transcriptional regulator [Pseudomonas]
PICI REGION 1 - OV986001.1	Core	4117	4584567	4584869	-1	WP_002553164.1	100	99.0	4.77e-62	MULTISPECIES: integration host factor subunit alpha [Bacteria]
PICI REGION 1 - OV986001.1	Core	4118	4584873	4587251	-1	WP_015884932.1	100	99.9	0.0	MULTISPECIES: phenylalanine--tRNA ligase subunit beta [Pseudomonas fluorescens group]
PICI REGION 1 - OV986001.1	Core	4119	4587278	4588294	-1	WP_003192486.1	100	99.7	4.65e-245	MULTISPECIES: phenylalanine--tRNA ligase subunit alpha [Pseudomonas]
PICI REGION 1 - OV986001.1	Core	4120	4588404	4588760	-1	WP_003174975.1	100	99.2	1.03e-69	MULTISPECIES: 50S ribosomal protein L20 [Pseudomonas]
PICI REGION 1 - OV986001.1	Core	4121	4588791	4588985	-1	WP_002553160.1	100	98.5	4.41e-35	MULTISPECIES: 50S ribosomal protein L35 [Bacteria]
PICI REGION 1 - OV986001.1	Core	4122	4589046	4589579	-1	WP_015884933.1	100	99.4	1.60e-114	MULTISPECIES: translation initiation factor IF-3 [Pseudomonas]
PICI REGION 1 - OV986001.1	Core	4123	4589597	4591519	-1	WP_015884934.1	100	99.8	0.0	MULTISPECIES: threonine--tRNA ligase [Pseudomonas fluorescens group]
PICI REGION 1 - OV986001.1	Core	4124	4591890	4592201	1	WP_015884935.1	100	99.0	2.40e-59	MULTISPECIES: hypothetical protein [Pseudomonas]
PICI REGION 1 - OV986001.1	Core	4125	4592491	4592703	1	CORE	100	98.6	9.37e-44	PROTEIN: WP_003234260.1 MULTISPECIES: cold-shock protein [Pseudomonas]
PICI REGION 1 - OV986001.1	Downstream	4126	4592777	4593097	-1	WP_015884936.1	100	99.1	7.98e-66	MULTISPECIES: I78 family peptidase inhibitor [Pseudomonas]
PICI REGION 1 - OV986001.1	Downstream	4127	4593242	4593550	-1	WP_015884937.1	100	99.0	5.09e-67	MULTISPECIES: hypothetical protein [Pseudomonas fluorescens group]
PICI REGION 1 - OV986001.1	Downstream	4128	4593722	4593934	1	WP_015884938.1	100	98.6	3.27e-44	MULTISPECIES: hypothetical protein [Pseudomonas]
PICI REGION 1 - OV986001.1	Downstream	4129	4593968	4594996	-1	WP_015884939.1	100	99.7	2.48e-242	MULTISPECIES: nucleoside hydrolase [Pseudomonas]
PICI REGION 1 - OV986001.1	Downstream	4130	4595022	4595426	-1	WP_015884940.1	100	99.3	1.62e-85	MULTISPECIES: D-ribose pyranase [Pseudomonas fluorescens group]
