Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - JTIY01000001.1	Upstream	2511	2743099	2743842	1	WP_241778554.1	100	99.6	1.76e-167	DUF2637 domain-containing protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Upstream	2512	2743839	2744135	1	WP_041988127.1	100	99.0	9.01e-57	hypothetical protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Upstream	2513	2744137	2744322	1	WP_041988129.1	100	98.4	6.51e-29	hypothetical protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Upstream	2514	2744409	2746517	1	WP_241778555.1	100	99.9	0.0	FtsK/SpoIIIE domain-containing protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Upstream	2515	2746713	2746892	1	WP_041988133.1	100	98.3	2.58e-34	hypothetical protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Core	2516	2747008	2747295	1	CORE	100	99.0	5.25e-68	PROTEIN: WP_041988135.1 HNH endonuclease [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Core	2517	2747619	2747903	1	WP_241778556.1	100	98.9	4.96e-62	hypothetical protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Core	2518	2747860	2749425	1	CORE	100	99.8	0.0	PROTEIN: WP_241778557.1 terminase large subunit domain-containing protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Core	2519	2749437	2750660	1	CORE	100	99.8	3.20e-296	PROTEIN: WP_041988138.1 phage portal protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Core	2520	2750657	2751328	1	CORE	100	99.6	2.72e-150	PROTEIN: WP_041988140.1 HK97 family phage prohead protease [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Downstream	2521	2751470	2752867	1	WP_041988142.1	100	99.8	3.51e-302	phage major capsid protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Downstream	2522	2752938	2753162	1	WP_041988145.1	100	98.7	2.51e-43	hypothetical protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Downstream	2523	2753164	2753748	1	WP_361812857.1	76.3	99.5	1.18e-101	phage gp6-like head-tail connector protein [Streptomyces sp. NPDC050844]
CFPICI REGION 1 - JTIY01000001.1	Downstream	2524	2753762	2753971	1	WP_041988151.1	100	98.6	8.14e-40	hypothetical protein [Streptomyces sp. AcH 505]
CFPICI REGION 1 - JTIY01000001.1	Downstream	2525	2753949	2754395	1	WP_041988154.1	100	99.3	2.58e-100	hypothetical protein [Streptomyces sp. AcH 505]
