Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - NZ_KV841349.1	Upstream	40	39172	39426	-1	WP_000466746.1	100	98.8	1.35e-38	MULTISPECIES: GlsB/YeaQ/YmgE family stress response membrane protein [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Upstream	41	39726	39989	1	WP_001055897.1	100	98.9	1.21e-58	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Upstream	42	40127	40699	-1	WP_000769720.1	100	99.5	8.29e-122	MULTISPECIES: PepSY domain-containing protein [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Upstream	43	40880	41248	-1	WP_000849174.1	100	99.2	8.04e-78	YxeA family protein [Staphylococcus aureus]
PICI REGION 1 - NZ_KV841349.1	Upstream	45	41617	42228	-1	WP_000473944.1	100	99.5	4.60e-139	staphylococcal enterotoxin-like toxin X [Staphylococcus aureus]
PICI REGION 1 - NZ_KV841349.1	Core	46	42588	42728	1	CORE	100	97.9	1.48e-24	PROTEIN: WP_000237577.1 integrase [Staphylococcus aureus]
PICI REGION 1 - NZ_KV841349.1	Core	47	42725	42943	1	CORE	100	46.6	1.99e-10	PROTEIN: WP_001797636.1 tyrosine-type recombinase/integrase [Staphylococcus aureus]
PICI REGION 1 - NZ_KV841349.1	Core	48	43149	44123	1	CORE	100	96.0	1.09e-224	PROTEIN: WP_001822249.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Core	49	44389	44631	-1	WP_000897044.1	100	98.8	3.02e-49	MULTISPECIES: 30S ribosomal protein S18 [Bacteria]
PICI REGION 1 - NZ_KV841349.1	Core	50	44683	45186	-1	WP_061839556.1	91.6	99.4	1.08e-99	single-stranded DNA-binding protein [Staphylococcus aureus]
PICI REGION 1 - NZ_KV841349.1	Core	51	45207	45503	-1	WP_001261460.1	100	99.0	3.52e-63	MULTISPECIES: 30S ribosomal protein S6 [Bacteria]
PICI REGION 1 - NZ_KV841349.1	Core	52	45747	45938	1	WP_001052483.1	100	98.4	9.23e-41	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Core	53	46024	47121	-1	WP_001218732.1	100	99.7	2.44e-256	MULTISPECIES: redox-regulated ATPase YchF [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Core	54	47133	47336	-1	WP_000157345.1	100	98.5	1.48e-41	MULTISPECIES: DUF951 domain-containing protein [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Core	55	47366	48247	-1	WP_001077602.1	100	99.7	4.03e-150	MULTISPECIES: mechanosensitive ion channel family protein [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Core	56	48404	49249	-1	WP_001550052.1	100	99.6	1.57e-187	MULTISPECIES: ParB/RepB/Spo0J family partition protein [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Core	58	49911	51014	1	CORE	100	99.7	2.66e-261	PROTEIN: WP_000655703.1 MULTISPECIES: aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Downstream	59	51011	52171	1	WP_000175854.1	100	99.7	1.35e-275	MULTISPECIES: cystathionine beta-lyase MetC [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Downstream	60	52363	53982	1	WP_049308295.1	100	96.9	0.0	bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase [Staphylococcus aureus]
PICI REGION 1 - NZ_KV841349.1	Downstream	61	53979	56207	1	WP_000207614.1	100	99.9	0.0	MULTISPECIES: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Downstream	62	56250	57002	1	WP_000195907.1	100	99.6	3.36e-187	MULTISPECIES: cyclase family protein [Staphylococcus]
PICI REGION 1 - NZ_KV841349.1	Downstream	63	57085	58266	-1	WP_000199068.1	100	99.7	1.21e-277	MULTISPECIES: acetyl-CoA C-acetyltransferase [Staphylococcus]
