Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
EPIP REGION 1 - machiense_contig_7	Upstream	614	634656	635381	1	WP_115321093.1	100	99.6	1.77e-164	IclR family transcriptional regulator [Mycolicibacterium aichiense]
EPIP REGION 1 - machiense_contig_7	Upstream	615	635378	636721	-1	WP_232077606.1	100	99.8	0.0	HNH endonuclease signature motif containing protein [Mycolicibacterium aichiense]
EPIP REGION 1 - machiense_contig_7	Upstream	616	636819	637607	-1	WP_115319691.1	100	99.6	3.19e-182	SDR family NAD(P)-dependent oxidoreductase [Mycolicibacterium aichiense]
EPIP REGION 1 - machiense_contig_7	Upstream	617	637627	638286	1	WP_051659818.1	96.8	99.5	1.19e-142	TetR family transcriptional regulator [Mycolicibacterium aromaticivorans]
EPIP REGION 1 - machiense_contig_7	Upstream	618	638263	639084	-1	WP_115321096.1	99.6	99.6	1.64e-174	DMT family transporter [Mycolicibacterium aichiense]
EPIP REGION 1 - machiense_contig_7	Core	619	639140	640672	1	CORE	59.6	99.0	1.56e-204	PROTEIN: WP_396869312.1 recombinase family protein [Mycolicibacterium sp. PDY-3]
EPIP REGION 1 - machiense_contig_7	Core	620	641459	641812	-1	CORE	70.9	99.2	5.41e-51	PROTEIN: WP_241473174.1 phage head completion protein [Mycolicibacterium neoaurum]
EPIP REGION 1 - machiense_contig_7	Core	621	641809	642183	-1	CORE	82.3	99.2	1.41e-63	PROTEIN: WP_240179228.1 Gp19/Gp15/Gp42 family protein [Mycolicibacterium crocinum]
EPIP REGION 1 - machiense_contig_7	Core	622	642180	642404	-1	CORE	72.4	97.3	1.60e-21	PROTEIN: WP_264022283.1 hypothetical protein [Mycolicibacterium pyrenivorans]
EPIP REGION 1 - machiense_contig_7	Core	623	642397	642855	-1	CORE	80.9	61.4	2.68e-46	PROTEIN: WP_083142053.1 hypothetical protein [Mycolicibacterium parafortuitum]
EPIP REGION 1 - machiense_contig_7	Core	625	643837	645786	-1	CORE	60.2	99.8	2.26e-155	PROTEIN: WP_240179230.1 phage tail protein [Mycolicibacterium crocinum]
EPIP REGION 1 - machiense_contig_7	Core	626	645868	646689	-1	WP_264065179.1	92.3	99.6	1.61e-176	phage major capsid protein [Mycolicibacterium komossense]
EPIP REGION 1 - machiense_contig_7	Core	627	646803	647255	-1	CORE	62.0	98.7	2.52e-43	PROTEIN: WP_234551598.1 hypothetical protein [Rhodococcus qingshengii]
EPIP REGION 1 - machiense_contig_7	Core	628	647252	647530	-1	CORE	48.8	88.2	1.28e-18	PROTEIN: WP_083153993.1 hypothetical protein [Mycolicibacterium moriokaense]
EPIP REGION 1 - machiense_contig_7	Core	629	647527	647733	-1	CORE	68.3	87.0	8.77e-25	PROTEIN: WP_240179234.1 hypothetical protein [Mycolicibacterium crocinum]
EPIP REGION 1 - machiense_contig_7	Core	630	647726	647881	-1	CORE	57.1	92.3	1.02e-12	PROTEIN: WP_305093691.1 MULTISPECIES: hypothetical protein [Nocardiaceae]
EPIP REGION 1 - machiense_contig_7	Core	631	647980	648684	-1	WP_167114500.1	55.9	84.3	1.02e-45	helix-turn-helix domain-containing protein [Rhodococcus sp. A14]
EPIP REGION 1 - machiense_contig_7	Core	632	648677	648931	-1	CORE	56.6	89.4	8.38e-18	PROTEIN: WP_264037635.1 hypothetical protein [Mycolicibacterium hodleri]
EPIP REGION 1 - machiense_contig_7	Core	633	648993	649259	-1	CORE	69.9	93.3	1.28e-33	PROTEIN: WP_061697103.1 hypothetical protein [Rhodococcus sp. LB1]
EPIP REGION 1 - machiense_contig_7	Core	634	649850	650122	-1	CORE	62.9	97.8	3.77e-32	PROTEIN: WP_240179238.1 hypothetical protein [Mycolicibacterium crocinum]
EPIP REGION 1 - machiense_contig_7	Downstream	635	650287	651615	1	WP_115319692.1	100	99.8	4.22e-296	replication-associated recombination protein A [Mycolicibacterium aichiense]
EPIP REGION 1 - machiense_contig_7	Downstream	636	651623	652276	-1	WP_115319693.1	100	99.5	1.94e-156	hypothetical protein [Mycolicibacterium aichiense]
EPIP REGION 1 - machiense_contig_7	Downstream	637	652345	653022	-1	WP_115321097.1	99.5	91.2	7.84e-142	antibiotic biosynthesis monooxygenase [Mycolicibacterium aichiense]
EPIP REGION 1 - machiense_contig_7	Downstream	638	653082	653483	1	WP_115319694.1	100	99.3	1.19e-91	secondary thiamine-phosphate synthase enzyme YjbQ [Mycolicibacterium aichiense]
EPIP REGION 1 - machiense_contig_7	Downstream	639	653555	656251	1	WP_115319695.1	100	99.9	0.0	alanine--tRNA ligase [Mycolicibacterium aichiense]
