Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - NZ_KI519398.1	Upstream	2229	2312649	2313173	1	WP_027496242.1	100	99.4	8.57e-123	MULTISPECIES: peroxiredoxin [Nocardiaceae]
PICI REGION 1 - NZ_KI519398.1	Upstream	2230	2313177	2313299	-1	WP_255032376.1	100	97.6	1.37e-19	MULTISPECIES: hypothetical protein [Nocardiaceae]
PICI REGION 1 - NZ_KI519398.1	Upstream	2231	2313412	2314530	1	WP_027496243.1	100	99.7	3.23e-260	class I SAM-dependent methyltransferase [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Upstream	2232	2314555	2314980	-1	WP_027496244.1	100	99.3	3.14e-75	MULTISPECIES: hypothetical protein [Nocardiaceae]
PICI REGION 1 - NZ_KI519398.1	Upstream	2233	2315178	2316026	1	WP_027496245.1	100	99.6	3.19e-192	MULTISPECIES: Bax inhibitor-1/YccA family protein [Nocardiaceae]
PICI REGION 1 - NZ_KI519398.1	Core	2234	2316113	2317294	-1	CORE	99.7	94.7	4.21e-264	PROTEIN: WP_237606175.1 tyrosine-type recombinase/integrase [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2235	2317287	2317664	-1	WP_152530411.1	99.2	99.2	1.31e-80	helix-turn-helix domain-containing protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2236	2318094	2318282	1	WP_051365085.1	100	98.4	1.90e-35	excisionase family DNA-binding protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2237	2318282	2318398	1	WP_317810880.1	71.1	97.4	1.25e-08	hypothetical protein [Rhodococcus sp. IEGM 1343]
PICI REGION 1 - NZ_KI519398.1	Core	2238	2318401	2318985	1	WP_051365086.1	100	99.5	6.10e-135	hypothetical protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2239	2318982	2319323	1	WP_027496247.1	100	99.1	1.97e-76	DUF6907 domain-containing protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2240	2319323	2319553	1	WP_027496248.1	100	98.7	4.11e-43	hypothetical protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2242	2319720	2319920	1	WP_037219202.1	100	98.5	1.96e-41	DUF6011 domain-containing protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2243	2319920	2320636	1	CORE	100	99.6	8.54e-175	PROTEIN: WP_051365087.1 bifunctional DNA primase/polymerase [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2244	2320633	2322408	1	WP_152530412.1	100	99.8	0.0	hypothetical protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2245	2322386	2322934	1	WP_202595064.1	100	94.0	3.68e-112	DUF2637 domain-containing protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2247	2323353	2324003	1	WP_051365090.1	100	99.5	5.33e-149	hypothetical protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Core	2248	2324238	2324528	1	CORE	67.9	84.5	3.41e-26	PROTEIN: YP_008409539.1 terminase small subunit [Mycobacterium phage Velveteen]
PICI REGION 1 - NZ_KI519398.1	Downstream	2249	2324719	2329320	1	WP_156394516.1	63.8	69.4	0.0	NlpC/P60 family protein [Rhodococcus sp. Leaf233]
PICI REGION 1 - NZ_KI519398.1	Downstream	2250	2329799	2330203	-1	WP_051365092.1	100	99.3	1.01e-88	hypothetical protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Downstream	2251	2330369	2330644	-1	WP_037219204.1	100	98.9	1.01e-61	hypothetical protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Downstream	2252	2330704	2330979	1	WP_161631801.1	100	58.7	3.48e-33	hypothetical protein [Rhodococcus sp. JG-3]
PICI REGION 1 - NZ_KI519398.1	Downstream	2253	2331401	2332783	1	WP_366239038.1	100	82.4	5.15e-280	IS30 family transposase, partial [Rhodococcus sp. NPDC080181]
