AP010968.1_1|382|2745|-1|ID=1_1;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.701	WP_106437559.1 MULTISPECIES: DEAD/DEAH box helicase [Kitasatospora]	99.9	99.9	0.0
AP010968.1_2|2892|4472|-1|ID=1_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.696	WP_014133179.1 HNH endonuclease [Kitasatospora setae]	100	99.8	0.0
AP010968.1_3|4964|5719|-1|ID=1_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.697	WP_380616270.1 ABC transporter C-terminal domain-containing protein [Kitasatospora sp. NPDC056531]	48.8	97.2	1.57e-55
AP010968.1_4|6255|8075|1|ID=1_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.691	WP_376648053.1 AAA family ATPase [Streptomyces sp. NPDC056373]	52.9	99.8	9.87e-188
AP010968.1_5|8497|10917|1|ID=1_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.704	WP_014133182.1 MULTISPECIES: UvrD-helicase domain-containing protein [Kitasatospora]	100	99.5	0.0
AP010968.1_6|11085|11552|1|ID=1_6;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.733	WP_390914102.1 hypothetical protein [Streptomyces sp. NPDC005531]	62.2	62.8	9.58e-33
AP010968.1_7|11456|12301|-1|ID=1_7;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.712	WP_014133183.1 MULTISPECIES: nucleotidyltransferase domain-containing protein [Kitasatospora]	100	99.6	2.46e-200
AP010968.1_8|12518|13216|-1|ID=1_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.727	WP_014133184.1 MULTISPECIES: hypothetical protein [Kitasatospora]	100	99.6	6.89e-153
AP010968.1_9|13584|17138|-1|ID=1_9;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.714	WP_014133185.1 MULTISPECIES: DEAD/DEAH box helicase [Kitasatospora]	100	99.9	0.0
AP010968.1_10|17273|18346|1|ID=1_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.733	WP_014133186.1 MULTISPECIES: TniQ family protein [Kitasatospora]	99.7	94.4	9.34e-250
AP010968.1_11|18439|19215|1|ID=1_11;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.713	WP_245984763.1 TnsA-like heteromeric transposase endonuclease subunit [Streptomyces tateyamensis]	65.1	90.7	1.40e-102
