Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
CFPICI REGION 1 - LR593886.1	Upstream	4418	5355368	5355961	1	WP_162669665.1	100	99.5	4.44e-134	DUF3168 domain-containing protein [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Upstream	4419	5355961	5357001	1	YP_010059502.1	41.0	34.3	1.42e-10	tail protein [Gordonia phage Stormageddon]
CFPICI REGION 1 - LR593886.1	Upstream	4420	5357025	5357297	1	WP_162669667.1	100	98.9	2.93e-56	hypothetical protein [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Upstream	4421	5357328	5358428	1	WP_162669668.1	100	99.7	2.36e-259	hypothetical protein [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Upstream	4422	5359029	5359355	1	WP_162669669.1	100	99.1	2.17e-73	P27 family phage terminase small subunit [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Core	4424	5359462	5359722	1	CORE	50.7	74.7	1.34e-13	PROTEIN: WP_051408767.1 HNH endonuclease [Syntrophorhabdus aromaticivorans]
CFPICI REGION 1 - LR593886.1	Core	4425	5359816	5360577	1	WP_390697684.1	100	99.6	5.59e-192	PEP-CTERM sorting domain-containing protein [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Core	4426	5360594	5362216	1	CORE	100	99.8	0.0	PROTEIN: WP_162669672.1 terminase large subunit [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Core	4427	5362256	5362885	-1	WP_162669673.1	100	99.5	2.28e-151	hypothetical protein [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Core	4428	5363023	5364261	1	CORE	100	99.8	2.78e-304	PROTEIN: WP_162669674.1 phage portal protein [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Core	4429	5364212	5364811	1	CORE	100	99.5	2.78e-138	PROTEIN: WP_162669675.1 HK97 family phage prohead protease [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Downstream	4430	5364872	5366311	1	WP_162669676.1	100	99.8	0.0	phage major capsid protein [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Downstream	4431	5366410	5366988	1	WP_162669677.1	100	99.5	3.16e-136	head-tail connector protein [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Downstream	4432	5366991	5367302	1	WP_162669678.1	100	99.0	4.86e-70	phage head completion protein [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Downstream	4433	5367307	5367810	1	WP_162669679.1	100	99.4	2.46e-105	hypothetical protein [Gemmata massiliana]
CFPICI REGION 1 - LR593886.1	Downstream	4434	5367807	5368274	1	WP_162669680.1	100	99.4	1.36e-103	HK97 gp10 family phage protein [Gemmata massiliana]
