contig_7_3|4163|4567|1|ID=5_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.679	WP_115319186.1 NADPH-dependent FMN reductase [Mycolicibacterium aichiense]	99.3	99.3	1.88e-85
contig_7_4|5152|5391|1|ID=5_4;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.637	WP_083116660.1 MULTISPECIES: redoxin NrdH [Mycolicibacterium]	100	98.8	1.19e-50
contig_7_5|5420|5902|1|ID=5_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609	WP_115319187.1 class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI [Mycolicibacterium aichiense]	99.4	99.4	7.22e-115
contig_7_6|5920|8037|1|ID=5_6;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.605	WP_115319188.1 class 1b ribonucleoside-diphosphate reductase subunit alpha [Mycolicibacterium aichiense]	99.9	99.9	0.0
contig_7_7|8715|9104|1|ID=5_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.610	WP_276047947.1 VOC family protein [Mycolicibacterium aichiense]	100	99.2	6.97e-89
contig_7_8|9041|9574|-1|ID=5_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.648	WP_115319190.1 hypothetical protein [Mycolicibacterium aichiense]	100	99.4	2.96e-120
contig_7_10|10356|10736|-1|ID=5_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.682	WP_115319191.1 DUF5997 family protein [Mycolicibacterium aichiense]	100	99.2	4.56e-70
contig_7_11|10765|11478|1|ID=5_11;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.706	WP_115319192.1 LysR family substrate-binding domain-containing protein [Mycolicibacterium aichiense]	100	99.6	1.90e-157
contig_7_12|11535|12422|1|ID=5_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.652	WP_115319193.1 phytanoyl-CoA dioxygenase family protein [Mycolicibacterium aichiense]	100	99.7	1.51e-217
contig_7_13|12450|13316|1|ID=5_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.678	WP_115321012.1 4,5-DOPA dioxygenase extradiol [Mycolicibacterium aichiense]	100	98.3	5.25e-209
contig_7_14|13356|13667|1|ID=5_14;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.603	WP_115319194.1 NIPSNAP family protein [Mycolicibacterium aichiense]	100	99.0	4.68e-68
contig_7_15|13705|14283|1|ID=5_15;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.646	WP_115319195.1 TetR/AcrR family transcriptional regulator [Mycolicibacterium aichiense]	100	99.5	1.43e-123
