accession	n_families	families
AE005174.2	1	CFPICI
AP006841.1	1	CFPICI
AP017922.1	2	CFPICI,PICI
AP018499.1	2	CFPICI,PICI
AP040133.1	2	CFPICI,PICI
AP043817.1	1	EPIP
BAAHSV010000001.1	1	PICI
BAAHSY010000001.1	1	PICI
BAAHSZ010000001.1	1	PICI
BAAHTL010000001.1	1	PICI
BAAHTM010000001.1	1	PICI
BAAHTN010000001.1	1	PICI
BAAHTQ010000004.1	1	CFPICI
BAAHTR010000001.1	1	PICI
BAAHTS010000002.1	1	PICI
BAAHTT010000002.1	1	PICI
BAAHTU010000006.1	1	PICI
BAAHTV010000001.1	1	PICI
BAAHTW010000002.1	1	PICI
BAAHTX010000005.1	1	PICI
BAAHTY010000005.1	1	PICI
BAAHUE010000001.1	1	PICI
BAAHUX010000007.1	1	PICI
BAAHVB010000006.1	1	PICI
BAAHVC010000001.1	1	PICI
BAAHVD010000003.1	1	PICI
BX571856.1	1	PICI
BX571857.1	2	CFPICI,PICI
BX950851.1	1	PICI
CM002285.1	1	CFPICI
CM002330.1	2	CFPICI,PICI
CM132592.1	2	CFPICI,PICI
CP002114.3	1	PICI
CP002120.1	1	PICI
CP005094.1	1	PICI
CP005970.1	2	CFPICI,PICI
CP005975.1	1	CFPICI
CP005976.1	2	CFPICI,PICI
CP006245.1	1	PICI
CP006853.1	2	CFPICI,PICI
CP006937.1	1	CFPICI
CP006978.1	1	CFPICI
CP006980.1	1	PICI
CP006982.1	2	CFPICI,PICI
CP006983.1	1	PICI
CP006984.1	1	PICI
CP006985.1	1	PICI
CP007147.1	1	PICI
CP010407.1	1	PICI
CP010849.1	1	PICI
CP027293.1	1	PICI
CP034779.1	1	PICI
CP035671.1	1	CFPICI
CP039156.1	1	PICI
CP039992.1	1	PICI
CP040625.1	1	PICI
CP042408.1	1	PICI
CP059048.1	1	PICI
CP059049.1	1	PICI
CP062279.1	1	CFPICI
CP065702.1	2	CFPICI,PICI
CP065737.1	2	CFPICI,PICI
CP089159.1	1	PICI
CP091315.1	1	PICI
CP091316.1	1	PICI
CP093413.1	2	CFPICI,PICI
CP093959.1	2	CFPICI,PICI
CP094474.1	2	CFPICI,PICI
CP098790.1	1	PICI
CP102522.1	2	CFPICI,PICI
CP104388.1	1	PICI
CP110849.1	1	PICI
CP117409.1	1	PICI
CP119113.1	1	PICI
CP121539.1	1	PICI
CP122489.1	1	PICI
CP127551.1	1	CFPICI
CP127571.1	1	PICI
CP127616.1	2	CFPICI,PICI
CP127618.1	1	PICI
CP127656.1	1	PICI
CP127739.1	1	PICI
CP127770.1	1	PICI
CP127780.1	2	CFPICI,PICI
CP127790.1	1	CFPICI
CP127820.1	1	PICI
CP129526.1	1	CFPICI
CP134071.1	1	PICI
CP135966.1	1	PICI
CP137623.1	1	PICI
CP138309.1	1	PICI
CP141407.1	1	PICI
CP141417.1	1	PICI
CP141482.1	1	PICI
CP141494.1	1	CFPICI
CP141495.1	1	PICI
CP141502.1	1	PICI
CP141505.1	1	PICI
CP141512.1	1	CFPICI
CP151683.1	1	PICI
CP156750.1	1	CFPICI
CP157287.1	1	PICI
CP157495.1	2	CFPICI,PICI
CP157498.1	2	CFPICI,PICI
CP157500.1	2	CFPICI,PICI
CP159281.1	1	PICI
CP169315.1	1	PICI
CP178226.1	1	PICI
CP184549.1	1	PICI
CP184551.1	1	PICI
CP184555.1	1	CFPICI
CP184557.1	1	CFPICI
FR821779.1	1	PICI
JTIY01000001.1	1	CFPICI
LJGV01000022.1	1	PICI
LR586016.1	1	PICI
LR593886.1	1	PICI
LR593887.1	1	PICI
LR593888.1	1	PICI
LWMQ01000001.1	1	PICI
NC_000913.3	1	PICI
