Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
P4 REGION 1 - NZ_AP044770.1	Upstream	44	43908	44726	1	WP_000779426.1	100	99.6	2.09e-192	MULTISPECIES: lipoprotein NlpA [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Upstream	45	44730	45653	-1	WP_000535955.1	100	99.7	1.64e-202	MULTISPECIES: carboxylate/amino acid/amine transporter [Escherichia]
P4 REGION 1 - NZ_AP044770.1	Upstream	46	45764	46948	-1	WP_001172876.1	100	99.7	6.94e-273	MULTISPECIES: sugar efflux transporter [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Upstream	47	47336	47476	-1	WP_192540092.1	100	97.9	8.94e-25	RhuM family protein, partial [Escherichia coli]
P4 REGION 1 - NZ_AP044770.1	Upstream	48	47901	50234	-1	WP_087650615.1	100	99.9	0.0	primase-helicase zinc-binding domain-containing protein [Escherichia coli]
P4 REGION 1 - NZ_AP044770.1	Core	49	50249	50569	-1	CORE	100	99.1	5.18e-71	PROTEIN: WP_000856729.1 MULTISPECIES: DUF5375 domain-containing protein [Enterobacterales]
P4 REGION 1 - NZ_AP044770.1	Core	50	50705	51160	-1	WP_000459315.1	100	99.3	1.74e-113	MULTISPECIES: hypothetical protein [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Core	51	51153	51440	-1	WP_181671500.1	98.9	99.0	1.15e-62	Derepression protein [Escherichia fergusonii]
P4 REGION 1 - NZ_AP044770.1	Core	52	51433	52032	-1	CORE	100	99.5	7.98e-138	PROTEIN: WP_000980227.1 MULTISPECIES: host cell division inhibitor Icd-like protein [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Core	53	52029	52295	-1	WP_001149160.1	100	98.9	3.73e-58	MULTISPECIES: helix-turn-helix transcriptional regulator [Bacteria]
P4 REGION 1 - NZ_AP044770.1	Core	54	52847	53581	1	WP_096973128.1	99.6	99.6	5.70e-167	glycoprotein 3 [Escherichia coli]
P4 REGION 1 - NZ_AP044770.1	Core	55	53578	54078	1	CORE	100	99.4	1.75e-118	PROTEIN: WP_000638628.1 MULTISPECIES: ogr/Delta-like zinc finger family protein [Enterobacterales]
P4 REGION 1 - NZ_AP044770.1	Core	56	54152	54724	1	CORE	100	99.5	1.10e-126	PROTEIN: WP_024238667.1 MULTISPECIES: phage polarity suppression protein [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Core	57	55461	56885	1	WP_044686932.1	100	99.8	0.0	MULTISPECIES: anti-phage dCTP deaminase [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Core	58	56887	57060	1	WP_000021256.1	100	98.3	5.32e-33	hypothetical protein [Escherichia coli]
P4 REGION 1 - NZ_AP044770.1	Core	59	57105	58292	-1	CORE	100	99.7	7.43e-289	PROTEIN: WP_001218978.1 MULTISPECIES: tyrosine-type recombinase/integrase [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Downstream	60	58842	60224	1	WP_000834439.1	100	99.8	0.0	MULTISPECIES: glycoside-pentoside-hexuronide family transporter [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Downstream	61	60234	62552	1	WP_000702903.1	100	99.9	0.0	MULTISPECIES: alpha-xylosidase [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Downstream	62	62605	64314	-1	WP_001298946.1	100	99.8	0.0	MULTISPECIES: AsmA family protein [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Downstream	63	64435	65826	-1	WP_001295238.1	100	99.8	0.0	MULTISPECIES: xanthine/proton symporter XanP [Enterobacteriaceae]
P4 REGION 1 - NZ_AP044770.1	Downstream	64	66106	67311	1	WP_000468836.1	100	99.8	1.34e-269	MULTISPECIES: sodium/glutamate symporter [Enterobacteriaceae]
